municipio,codigo
ABEJORRAL,05002
ÁBREGO,54003
ABRIAQUÍ,05004
ACACÍAS,50006
ACANDÍ,27006
ACEVEDO,41006
ACHÍ,13006
AGRADO,41013
AGUA DE DIOS,25001
AGUACHICA,20011
AGUADA,68013
AGUADAS,17013
AGUAZUL,85010
AGUSTÍN CODAZZI,20013
AIPE,41016
ALBÁN,25019
ALBÁN,52019
ALBANIA,18029
ALBANIA,44035
ALBANIA,68020
ALCALÁ,76020
ALDANA,52022
ALEJANDRÍA,05021
ALGARROBO,47030
ALGECIRAS,41020
ALMAGUER,19022
ALMEIDA,15022
ALPUJARRA,73024
ALTAMIRA,41026
ALTO BAUDÓ,27025
ALTOS DEL ROSARIO,13030
ALVARADO,73026
AMAGÁ,05030
AMALFI,05031
AMBALEMA,73030
ANAPOIMA,25035
ANCUYÁ,52036
ANDALUCÍA,76036
ANDES,05034
ANGELÓPOLIS,05036
ANGOSTURA,05038
ANOLAIMA,25040
ANORÍ,05040
ANSERMA,17042
ANSERMANUEVO,76041
ANZÁ,05044
ANZOÁTEGUI,73043
APARTADÓ,05045
APÍA,66045
APULO,25599
AQUITANIA,15047
ARACATACA,47053
ARANZAZU,17050
ARATOCA,68051
ARAUCA,81001
ARAUQUITA,81065
ARBELÁEZ,25053
ARBOLEDA,52051
ARBOLEDAS,54051
ARBOLETES,05051
ARCABUCO,15051
ARENAL,13042
ARGELIA,05055
ARGELIA,19050
ARGELIA,76054
ARIGUANÍ,47058
ARJONA,13052
ARMENIA,05059
ARMENIA,63001
ARMERO GUAYABAL,73055
ARROYOHONDO,13062
ASTREA,20032
ATACO,73067
ATRATO,27050
AYAPEL,23068
BAGADÓ,27073
BAHÍA SOLANO,27075
BAJO BAUDÓ,27077
BALBOA,19075
BALBOA,66075
BARANOA,08078
BARAYA,41078
BARBACOAS,52079
BARBOSA,05079
BARBOSA,68077
BARICHARA,68079
BARRANCA DE UPÍA,50110
BARRANCABERMEJA,68081
BARRANCAS,44078
BARRANCO DE LOBA,13074
BARRANCO MINAS,94343
BARRANQUILLA,08001
BECERRIL,20045
BELALCÁZAR,17088
BELÉN,15087
BELÉN,52083
BELÉN DE LOS ANDAQUÍES,18094
BELÉN DE UMBRÍA,66088
BELLO,05088
BELMIRA,05086
BELTRÁN,25086
BERBEO,15090
BETANIA,05091
BETÉITIVA,15092
BETULIA,05093
BETULIA,68092
BITUIMA,25095
BOAVITA,15097
BOCHALEMA,54099
BOGOTÁ, D.C.,11001
BOJACÁ,25099
BOJAYÁ,27099
BOLÍVAR,19100
BOLÍVAR,68101
BOLÍVAR,76100
BOSCONIA,20060
BOYACÁ,15104
BRICEÑO,05107
BRICEÑO,15106
BUCARAMANGA,68001
BUCARASICA,54109
BUENAVENTURA,76109
BUENAVISTA,15109
BUENAVISTA,23079
BUENAVISTA,63111
BUENAVISTA,70110
BUENOS AIRES,19110
BUESACO,52110
BUGALAGRANDE,76113
BURITICÁ,05113
BUSBANZÁ,15114
CABRERA,25120
CABRERA,68121
CABUYARO,50124
CACAHUAL,94886
CÁCERES,05120
CACHIPAY,25123
CÁCHIRA,54128
CÁCOTA,54125
CAICEDO,05125
CAICEDONIA,76122
CAIMITO,70124
CAJAMARCA,73124
CAJIBÍO,19130
CAJICÁ,25126
CALAMAR,13140
CALAMAR,95015
CALARCÁ,63130
CALDAS,05129
CALDAS,15131
CALDONO,19137
CALI,76001
CALIFORNIA,68132
CALIMA,76126
CALOTO,19142
CAMPAMENTO,05134
CAMPO DE LA CRUZ,08137
CAMPOALEGRE,41132
CAMPOHERMOSO,15135
CANALETE,23090
CANDELARIA,08141
CANDELARIA,76130
CANTAGALLO,13160
CAÑASGORDAS,05138
CAPARRAPÍ,25148
CAPITANEJO,68147
CÁQUEZA,25151
CARACOLÍ,05142
CARAMANTA,05145
CARCASÍ,68152
CAREPA,05147
CARMEN DE APICALÁ,73148
CARMEN DE CARUPA,25154
CARMEN DEL DARIÉN,27150
CAROLINA,05150
CARTAGENA DE INDIAS,13001
CARTAGENA DEL CHAIRÁ,18150
CARTAGO,76147
CARURÚ,97161
CASABIANCA,73152
CASTILLA LA NUEVA,50150
CAUCASIA,05154
CEPITÁ,68160
CERETÉ,23162
CERINZA,15162
CERRITO,68162
CERRO DE SAN ANTONIO,47161
CÉRTEGUI,27160
CHACHAGÜÍ,52240
CHAGUANÍ,25168
CHALÁN,70230
CHÁMEZA,85015
CHAPARRAL,73168
CHARALÁ,68167
CHARTA,68169
CHÍA,25175
CHIGORODÓ,05172
CHIMA,68176
CHIMÁ,23168
CHIMICHAGUA,20175
CHINÁCOTA,54172
CHINAVITA,15172
CHINCHINÁ,17174
CHINÚ,23182
CHIPAQUE,25178
CHIPATÁ,68179
CHIQUINQUIRÁ,15176
CHÍQUIZA,15232
CHIRIGUANÁ,20178
CHISCAS,15180
CHITA,15183
CHITAGÁ,54174
CHITARAQUE,15185
CHIVATÁ,15187
CHIVOLO,47170
CHIVOR,15236
CHOACHÍ,25181
CHOCONTÁ,25183
CICUCO,13188
CIÉNAGA,47189
CIÉNAGA DE ORO,23189
CIÉNEGA,15189
CIMITARRA,68190
CIRCASIA,63190
CISNEROS,05190
CIUDAD BOLÍVAR,05101
CLEMENCIA,13222
COCORNÁ,05197
COELLO,73200
COGUA,25200
COLOMBIA,41206
COLÓN,52203
COLÓN,86219
COLOSÓ,70204
CÓMBITA,15204
CONCEPCIÓN,05206
CONCEPCIÓN,68207
CONCORDIA,05209
CONCORDIA,47205
CONDOTO,27205
CONFINES,68209
CONSACÁ,52207
CONTADERO,52210
CONTRATACIÓN,68211
CONVENCIÓN,54206
COPACABANA,05212
COPER,15212
CÓRDOBA,13212
CÓRDOBA,52215
CÓRDOBA,63212
CORINTO,19212
COROMORO,68217
COROZAL,70215
CORRALES,15215
COTA,25214
COTORRA,23300
COVARACHÍA,15218
COVEÑAS,70221
COYAIMA,73217
CRAVO NORTE,81220
CUASPÚD,52224
CUBARÁ,15223
CUCAITA,15224
CUCUNUBÁ,25224
CÚCUTA,54001
CUCUTILLA,54223
CUÍTIVA,15226
CUMARAL,50226
CUMARIBO,99773
CUMBAL,52227
CUMBITARA,52233
CUNDAY,73226
CURILLO,18205
CURITÍ,68229
CURUMANÍ,20228
DABEIBA,05234
DAGUA,76233
DIBULLA,44090
DISTRACCIÓN,44098
DOLORES,73236
DONMATÍAS,05237
DOSQUEBRADAS,66170
DUITAMA,15238
DURANIA,54239
EBÉJICO,05240
EL ÁGUILA,76243
EL BAGRE,05250
EL BANCO,47245
EL CAIRO,76246
EL CALVARIO,50245
EL CANTÓN DEL SAN PABLO,27135
EL CARMEN,54245
EL CARMEN DE ATRATO,27245
EL CARMEN DE BOLÍVAR,13244
EL CARMEN DE CHUCURÍ,68235
EL CARMEN DE VIBORAL,05148
EL CASTILLO,50251
EL CERRITO,76248
EL CHARCO,52250
EL COCUY,15244
EL COLEGIO,25245
EL COPEY,20238
EL DONCELLO,18247
EL DORADO,50270
EL DOVIO,76250
EL ENCANTO,91263
EL ESPINO,15248
EL GUACAMAYO,68245
EL GUAMO,13248
EL LITORAL DEL SAN JUAN,27250
EL MOLINO,44110
EL PASO,20250
EL PAUJÍL,18256
EL PEÑOL,52254
EL PEÑÓN,13268
EL PEÑÓN,25258
EL PEÑÓN,68250
EL PIÑÓN,47258
EL PLAYÓN,68255
EL RETÉN,47268
EL RETORNO,95025
EL ROBLE,70233
EL ROSAL,25260
EL ROSARIO,52256
EL SANTUARIO,05697
EL TABLÓN DE GÓMEZ,52258
EL TAMBO,19256
EL TAMBO,52260
EL TARRA,54250
EL ZULIA,54261
ELÍAS,41244
ENCINO,68264
ENCISO,68266
ENTRERRÍOS,05264
ENVIGADO,05266
ESPINAL,73268
FACATATIVÁ,25269
FALAN,73270
FILADELFIA,17272
FILANDIA,63272
FIRAVITOBA,15272
FLANDES,73275
FLORENCIA,18001
FLORENCIA,19290
FLORESTA,15276
FLORIÁN,68271
FLORIDA,76275
FLORIDABLANCA,68276
FÓMEQUE,25279
FONSECA,44279
FORTUL,81300
FOSCA,25281
FRANCISCO PIZARRO,52520
FREDONIA,05282
FRESNO,73283
FRONTINO,05284
FUENTE DE ORO,50287
FUNDACIÓN,47288
FUNES,52287
FUNZA,25286
FÚQUENE,25288
FUSAGASUGÁ,25290
GACHALÁ,25293
GACHANCIPÁ,25295
GACHANTIVÁ,15293
GACHETÁ,25297
GALÁN,68296
GALAPA,08296
GALERAS,70235
GAMA,25299
GAMARRA,20295
GÁMBITA,68298
GÁMEZA,15296
GARAGOA,15299
GARZÓN,41298
GÉNOVA,63302
GIGANTE,41306
GINEBRA,76306
GIRALDO,05306
GIRARDOT,25307
GIRARDOTA,05308
GIRÓN,68307
GÓMEZ PLATA,05310
GONZÁLEZ,20310
GRAMALOTE,54313
GRANADA,05313
GRANADA,25312
GRANADA,50313
GUACA,68318
GUACAMAYAS,15317
GUACARÍ,76318
GUACHENÉ,19300
GUACHETÁ,25317
GUACHUCAL,52317
GUADALAJARA DE BUGA,76111
GUADALUPE,05315
GUADALUPE,41319
GUADALUPE,68320
GUADUAS,25320
GUAITARILLA,52320
GUALMATÁN,52323
GUAMAL,47318
GUAMAL,50318
GUAMO,73319
GUAPÍ,19318
GUAPOTÁ,68322
GUARANDA,70265
GUARNE,05318
GUASCA,25322
GUATAPÉ,05321
GUATAQUÍ,25324
GUATAVITA,25326
GUATEQUE,15322
GUÁTICA,66318
GUAVATÁ,68324
GUAYABAL DE SÍQUIMA,25328
GUAYABETAL,25335
GUAYATÁ,15325
GÜEPSA,68327
GÜICÁN,15332
GUTIÉRREZ,25339
HACARÍ,54344
HATILLO DE LOBA,13300
HATO,68344
HATO COROZAL,85125
HATONUEVO,44378
HELICONIA,05347
HERRÁN,54347
HERVEO,73347
HISPANIA,05353
HOBO,41349
HONDA,73349
IBAGUÉ,73001
ICONONZO,73352
ILES,52352
IMUÉS,52354
INÍRIDA,94001
INZÁ,19355
IPIALES,52356
ÍQUIRA,41357
ISNOS,41359
ISTMINA,27361
ITAGÜÍ,05360
ITUANGO,05361
IZA,15362
JAMBALÓ,19364
JAMUNDÍ,76364
JARDÍN,05364
JENESANO,15367
JERICÓ,05368
JERICÓ,15368
JERUSALÉN,25368
JESÚS MARÍA,68368
JORDÁN,68370
JUAN DE ACOSTA,08372
JUNÍN,25372
JURADÓ,27372
LA APARTADA,23350
LA ARGENTINA,41378
LA BELLEZA,68377
LA CALERA,25377
LA CAPILLA,15380
LA CEJA,05376
LA CELIA,66383
LA CHORRERA,91405
LA CRUZ,52378
LA CUMBRE,76377
LA DORADA,17380
LA ESPERANZA,54385
LA ESTRELLA,05380
LA FLORIDA,52381
LA GLORIA,20383
LA GUADALUPE,94885
LA JAGUA DE IBIRICO,20400
LA JAGUA DEL PILAR,44420
LA LLANADA,52385
LA MACARENA,50350
LA MERCED,17388
LA MESA,25386
LA MONTAÑITA,18410
LA PALMA,25394
LA PAZ,20621
LA PAZ,68397
LA PEDRERA,91407
LA PEÑA,25398
LA PINTADA,05390
LA PLATA,41396
LA PLAYA,54398
LA PRIMAVERA,99524
LA SALINA,85136
LA SIERRA,19392
LA TEBAIDA,63401
LA TOLA,52390
LA UNIÓN,05400
LA UNIÓN,52399
LA UNIÓN,70400
LA UNIÓN,76400
LA UVITA,15403
LA VEGA,19397
LA VEGA,25402
LA VICTORIA,15401
LA VICTORIA,76403
LA VICTORIA,91430
LA VIRGINIA,66400
LABATECA,54377
LABRANZAGRANDE,15377
LANDÁZURI,68385
LEBRIJA,68406
LEIVA,52405
LEJANÍAS,50400
LENGUAZAQUE,25407
LÉRIDA,73408
LETICIA,91001
LÍBANO,73411
LIBORINA,05411
LINARES,52411
LLORÓ,27413
LÓPEZ DE MICAY,19418
LORICA,23417
LOS ANDES,52418
LOS CÓRDOBAS,23419
LOS PALMITOS,70418
LOS PATIOS,54405
LOS SANTOS,68418
LOURDES,54418
LURUACO,08421
MACANAL,15425
MACARAVITA,68425
MACEO,05425
MACHETÁ,25426
MADRID,25430
MAGANGUÉ,13430
MAGÜÍ,52427
MAHATES,13433
MAICAO,44430
MAJAGUAL,70429
MÁLAGA,68432
MALAMBO,08433
MALLAMA,52435
MANATÍ,08436
MANAURE,44560
MANAURE BALCÓN DEL CESAR,20443
MANÍ,85139
MANIZALES,17001
MANTA,25436
MANZANARES,17433
MAPIRIPÁN,50325
MAPIRIPANA,94663
MARGARITA,13440
MARÍA LA BAJA,13442
MARINILLA,05440
MARIPÍ,15442
MARMATO,17442
MARQUETALIA,17444
MARSELLA,66440
MARULANDA,17446
MATANZA,68444
MEDELLÍN,05001
MEDINA,25438
MEDIO ATRATO,27425
MEDIO BAUDÓ,27430
MEDIO SAN JUAN,27450
MELGAR,73449
MERCADERES,19450
MESETAS,50330
MILÁN,18460
MIRAFLORES,15455
MIRAFLORES,95200
MIRANDA,19455
MIRITÍ - PARANÁ,91460
MISTRATÓ,66456
MITÚ,97001
MOCOA,86001
MOGOTES,68464
MOLAGAVITA,68468
MOMIL,23464
MOMPÓS,13468
MONGUA,15464
MONGUÍ,15466
MONIQUIRÁ,15469
MONTEBELLO,05467
MONTECRISTO,13458
MONTELÍBANO,23466
MONTENEGRO,63470
MONTERÍA,23001
MONTERREY,85162
MOÑITOS,23500
MORALES,13473
MORALES,19473
MORELIA,18479
MORICHAL,94888
MORROA,70473
MOSQUERA,25473
MOSQUERA,52473
MOTAVITA,15476
MURILLO,73461
MURINDÓ,05475
MUTATÁ,05480
MUTISCUA,54480
MUZO,15480
NARIÑO,05483
NARIÑO,25483
NARIÑO,52480
NÁTAGA,41483
NATAGAIMA,73483
NECHÍ,05495
NECOCLÍ,05490
NEIRA,17486
NEIVA,41001
NEMOCÓN,25486
NILO,25488
NIMAIMA,25489
NOBSA,15491
NOCAIMA,25491
NORCASIA,17495
NOROSÍ,13490
NÓVITA,27491
NUEVA GRANADA,47460
NUEVO COLÓN,15494
NUNCHÍA,85225
NUQUÍ,27495
OBANDO,76497
OCAMONTE,68498
OCAÑA,54498
OIBA,68500
OICATÁ,15500
OLAYA,05501
OLAYA HERRERA,52490
ONZAGA,68502
OPORAPA,41503
ORITO,86320
OROCUÉ,85230
ORTEGA,73504
OSPINA,52506
OTANCHE,15507
OVEJAS,70508
PACHAVITA,15511
PACHO,25513
PACOA,97511
PÁCORA,17513
PADILLA,19513
PÁEZ,15514
PÁEZ,19517
PAICOL,41518
PAILITAS,20517
PAIME,25518
PAIPA,15516
PAJARITO,15518
PALERMO,41524
PALESTINA,17524
PALESTINA,41530
PALMAR,68522
PALMAR DE VARELA,08520
PALMAS DEL SOCORRO,68524
PALMIRA,76520
PALMITO,70523
PALOCABILDO,73520
PAMPLONA,54518
PAMPLONITA,54520
PANA PANA,94887
PANDI,25524
PANQUEBA,15522
PAPUNAUA,97777
PÁRAMO,68533
PARATEBUENO,25530
PASCA,25535
PASTO,52001
PATÍA,19532
PAUNA,15531
PAYA,15533
PAZ DE ARIPORO,85250
PAZ DE RÍO,15537
PEDRAZA,47541
PELAYA,20550
PENSILVANIA,17541
PEÑOL,05541
PEQUE,05543
PEREIRA,66001
PESCA,15542
PIAMONTE,19533
PIEDECUESTA,68547
PIEDRAS,73547
PIENDAMÓ,19548
PIJAO,63548
PIJIÑO DEL CARMEN,47545
PINCHOTE,68549
PINILLOS,13549
PIOJÓ,08549
PISBA,15550
PITAL,41548
PITALITO,41551
PIVIJAY,47551
PLANADAS,73555
PLANETA RICA,23555
PLATO,47555
POLICARPA,52540
POLONUEVO,08558
PONEDERA,08560
POPAYÁN,19001
PORE,85263
POTOSÍ,52560
PRADERA,76563
PRADO,73563
PROVIDENCIA,52565
PROVIDENCIA,88564
PUEBLO BELLO,20570
PUEBLO NUEVO,23570
PUEBLO RICO,66572
PUEBLORRICO,05576
PUEBLOVIEJO,47570
PUENTE NACIONAL,68572
PUERRES,52573
PUERTO ALEGRÍA,91530
PUERTO ARICA,91536
PUERTO ASÍS,86568
PUERTO BERRÍO,05579
PUERTO BOYACÁ,15572
PUERTO CAICEDO,86569
PUERTO CARREÑO,99001
PUERTO COLOMBIA,08573
PUERTO COLOMBIA,94884
PUERTO CONCORDIA,50450
PUERTO ESCONDIDO,23574
PUERTO GAITÁN,50568
PUERTO GUZMÁN,86571
PUERTO LEGUÍZAMO,86573
PUERTO LIBERTADOR,23580
PUERTO LLERAS,50577
PUERTO LÓPEZ,50573
PUERTO NARE,05585
PUERTO NARIÑO,91540
PUERTO PARRA,68573
PUERTO RICO,18592
PUERTO RICO,50590
PUERTO RONDÓN,81591
PUERTO SALGAR,25572
PUERTO SANTANDER,54553
PUERTO SANTANDER,91669
PUERTO TEJADA,19573
PUERTO TRIUNFO,05591
PUERTO WILCHES,68575
PULÍ,25580
PUPIALES,52585
PURACÉ,19585
PURIFICACIÓN,73585
PURÍSIMA DE LA CONCEPCIÓN,23586
QUEBRADANEGRA,25592
QUETAME,25594
QUIBDÓ,27001
QUIMBAYA,63594
QUINCHÍA,66594
QUÍPAMA,15580
QUIPILE,25596
RAGONVALIA,54599
RAMIRIQUÍ,15599
RÁQUIRA,15600
RECETOR,85279
REGIDOR,13580
REMEDIOS,05604
REMOLINO,47605
REPELÓN,08606
RESTREPO,50606
RESTREPO,76606
RETIRO,05607
RICAURTE,25612
RICAURTE,52612
RÍO DE ORO,20614
RÍO IRÓ,27580
RÍO QUITO,27600
RÍO VIEJO,13600
RIOBLANCO,73616
RIOFRÍO,76616
RIOHACHA,44001
RIONEGRO,05615
RIONEGRO,68615
RIOSUCIO,17614
RIOSUCIO,27615
RISARALDA,17616
RIVERA,41615
ROBERTO PAYÁN,52621
ROLDANILLO,76622
RONCESVALLES,73622
RONDÓN,15621
ROSAS,19622
ROVIRA,73624
SABANA DE TORRES,68655
SABANAGRANDE,08634
SABANALARGA,05628
SABANALARGA,08638
SABANALARGA,85300
SABANAS DE SAN ÁNGEL,47660
SABANETA,05631
SABOYÁ,15632
SÁCAMA,85315
SÁCHICA,15638
SAHAGÚN,23660
SALADOBLANCO,41660
SALAMINA,17653
SALAMINA,47675
SALAZAR,54660
SALDAÑA,73671
SALENTO,63690
SALGAR,05642
SAMACÁ,15646
SAMANÁ,17662
SAMANIEGO,52678
SAMPUÉS,70670
SAN AGUSTÍN,41668
SAN ALBERTO,20710
SAN ANDRÉS,68669
SAN ANDRÉS,88001
SAN ANDRÉS DE CUERQUÍA,05647
SAN ANDRÉS DE SOTAVENTO,23670
SAN ANDRÉS DE TUMACO,52835
SAN ANTERO,23672
SAN ANTONIO,73675
SAN ANTONIO DEL TEQUENDAMA,25645
SAN BENITO,68673
SAN BENITO ABAD,70678
SAN BERNARDO,25649
SAN BERNARDO,52685
SAN BERNARDO DEL VIENTO,23675
SAN CALIXTO,54670
SAN CARLOS,05649
SAN CARLOS,23678
SAN CARLOS DE GUAROA,50680
SAN CAYETANO,25653
SAN CAYETANO,54673
SAN CRISTÓBAL,13620
SAN DIEGO,20750
SAN EDUARDO,15660
SAN ESTANISLAO,13647
SAN FELIPE,94883
SAN FERNANDO,13650
SAN FRANCISCO,05652
SAN FRANCISCO,25658
SAN FRANCISCO,86755
SAN GIL,68679
SAN JACINTO,13654
SAN JACINTO DEL CAUCA,13655
SAN JERÓNIMO,05656
SAN JOAQUÍN,68682
SAN JOSÉ,17665
SAN JOSÉ DE LA MONTAÑA,05658
SAN JOSÉ DE MIRANDA,68684
SAN JOSÉ DE PARE,15664
SAN JOSÉ DE URÉ,23682
SAN JOSÉ DEL FRAGUA,18610
SAN JOSÉ DEL GUAVIARE,95001
SAN JOSÉ DEL PALMAR,27660
SAN JUAN DE ARAMA,50683
SAN JUAN DE BETULIA,70702
SAN JUAN DE RIOSECO,25662
SAN JUAN DE URABÁ,05659
SAN JUAN DEL CESAR,44650
SAN JUAN NEPOMUCENO,13657
SAN JUANITO,50686
SAN LORENZO,52687
SAN LUIS,05660
SAN LUIS,73678
SAN LUIS DE CUBARRAL,50223
SAN LUIS DE GACENO,15667
SAN LUIS DE PALENQUE,85325
SAN LUIS DE SINCÉ,70742
SAN MARCOS,70708
SAN MARTÍN,20770
SAN MARTÍN,50689
SAN MARTÍN DE LOBA,13667
SAN MATEO,15673
SAN MIGUEL,68686
SAN MIGUEL,86757
SAN MIGUEL DE SEMA,15676
SAN ONOFRE,70713
SAN PABLO,13670
SAN PABLO,52693
SAN PABLO DE BORBUR,15681
SAN PEDRO,70717
SAN PEDRO,76670
SAN PEDRO DE CARTAGO,52694
SAN PEDRO DE LOS MILAGROS,05664
SAN PEDRO DE URABÁ,05665
SAN PELAYO,23686
SAN RAFAEL,05667
SAN ROQUE,05670
SAN SEBASTIÁN,19693
SAN SEBASTIÁN DE BUENAVISTA,47692
SAN SEBASTIÁN DE MARIQUITA,73443
SAN VICENTE DE CHUCURÍ,68689
SAN VICENTE DEL CAGUÁN,18753
SAN VICENTE FERRER,05674
SAN ZENÓN,47703
SANDONÁ,52683
SANTA ANA,47707
SANTA BÁRBARA,05679
SANTA BÁRBARA,52696
SANTA BÁRBARA,68705
SANTA BÁRBARA DE PINTO,47720
SANTA CATALINA,13673
SANTA FÉ DE ANTIOQUIA,05042
SANTA HELENA DEL OPÓN,68720
SANTA ISABEL,73686
SANTA LUCÍA,08675
SANTA MARÍA,15690
SANTA MARÍA,41676
SANTA MARTA,47001
SANTA ROSA,13683
SANTA ROSA,19701
SANTA ROSA DE CABAL,66682
SANTA ROSA DE OSOS,05686
SANTA ROSA DE VITERBO,15693
SANTA ROSA DEL SUR,13688
SANTA ROSALÍA,99624
SANTA SOFÍA,15696
SANTACRUZ,52699
SANTANA,15686
SANTANDER DE QUILICHAO,19698
SANTIAGO,54680
SANTIAGO,86760
SANTIAGO DE TOLÚ,70820
SANTO DOMINGO,05690
SANTO TOMÁS,08685
SANTUARIO,66687
SAPUYES,52720
SARAVENA,81736
SARDINATA,54720
SASAIMA,25718
SATIVANORTE,15720
SATIVASUR,15723
SEGOVIA,05736
SESQUILÉ,25736
SEVILLA,76736
SIACHOQUE,15740
SIBATÉ,25740
SIBUNDOY,86749
SILOS,54743
SILVANIA,25743
SILVIA,19743
SIMACOTA,68745
SIMIJACA,25745
SIMITÍ,13744
SINCELEJO,70001
SIPÍ,27745
SITIONUEVO,47745
SOACHA,25754
SOATÁ,15753
SOCHA,15757
SOCORRO,68755
SOCOTÁ,15755
SOGAMOSO,15759
SOLANO,18756
SOLEDAD,08758
SOLITA,18785
SOMONDOCO,15761
SONSÓN,05756
SOPETRÁN,05761
SOPLAVIENTO,13760
SOPÓ,25758
SORA,15762
SORACÁ,15764
SOTAQUIRÁ,15763
SOTARA,19760
SUAITA,68770
SUAN,08770
SUÁREZ,19780
SUÁREZ,73770
SUAZA,41770
SUBACHOQUE,25769
SUCRE,19785
SUCRE,68773
SUCRE,70771
SUESCA,25772
SUPATÁ,25777
SUPÍA,17777
SURATÁ,68780
SUSA,25779
SUSACÓN,15774
SUTAMARCHÁN,15776
SUTATAUSA,25781
SUTATENZA,15778
TABIO,25785
TADÓ,27787
TALAIGUA NUEVO,13780
TAMALAMEQUE,20787
TÁMARA,85400
TAME,81794
TÁMESIS,05789
TAMINANGO,52786
TANGUA,52788
TARAIRA,97666
TARAPACÁ,91798
TARAZÁ,05790
TARQUI,41791
TARSO,05792
TASCO,15790
TAURAMENA,85410
TAUSA,25793
TELLO,41799
TENA,25797
TENERIFE,47798
TENJO,25799
TENZA,15798
TEORAMA,54800
TERUEL,41801
TESALIA,41797
TIBACUY,25805
TIBANÁ,15804
TIBASOSA,15806
TIBIRITA,25807
TIBÚ,54810
TIERRALTA,23807
TIMANÁ,41807
TIMBÍO,19807
TIMBIQUÍ,19809
TINJACÁ,15808
TIPACOQUE,15810
TIQUISIO,13810
TITIRIBÍ,05809
TOCA,15814
TOCAIMA,25815
TOCANCIPÁ,25817
TOGÜÍ,15816
TOLEDO,05819
TOLEDO,54820
TOLÚ VIEJO,70823
TONA,68820
TÓPAGA,15820
TOPAIPÍ,25823
TORIBÍO,19821
TORO,76823
TOTA,15822
TOTORÓ,19824
TRINIDAD,85430
TRUJILLO,76828
TUBARÁ,08832
TUCHÍN,23815
TULUÁ,76834
TUNJA,15001
TUNUNGUÁ,15832
TÚQUERRES,52838
TURBACO,13836
TURBANÁ,13838
TURBO,05837
TURMEQUÉ,15835
TUTA,15837
TUTAZÁ,15839
UBALÁ,25839
UBAQUE,25841
ULLOA,76845
ÚMBITA,15842
UNE,25845
UNGUÍA,27800
UNIÓN PANAMERICANA,27810
URAMITA,05842
URIBE,50370
URIBIA,44847
URRAO,05847
URUMITA,44855
USIACURÍ,08849
ÚTICA,25851
VALDIVIA,05854
VALENCIA,23855
VALLE DE SAN JOSÉ,68855
VALLE DE SAN JUAN,73854
VALLE DEL GUAMUEZ,86865
VALLEDUPAR,20001
VALPARAÍSO,05856
VALPARAÍSO,18860
VEGACHÍ,05858
VÉLEZ,68861
VENADILLO,73861
VENECIA,05861
VENECIA,25506
VENTAQUEMADA,15861
VERGARA,25862
VERSALLES,76863
VETAS,68867
VIANÍ,25867
VICTORIA,17867
VIGÍA DEL FUERTE,05873
VIJES,76869
VILLA CARO,54871
VILLA DE LEYVA,15407
VILLA DE SAN DIEGO DE UBATÉ,25843
VILLA DEL ROSARIO,54874
VILLA RICA,19845
VILLAGARZÓN,86885
VILLAGÓMEZ,25871
VILLAHERMOSA,73870
VILLAMARÍA,17873
VILLANUEVA,13873
VILLANUEVA,44874
VILLANUEVA,68872
VILLANUEVA,85440
VILLAPINZÓN,25873
VILLARRICA,73873
VILLAVICENCIO,50001
VILLAVIEJA,41872
VILLETA,25875
VIOTÁ,25878
VIRACACHÁ,15879
VISTAHERMOSA,50711
VITERBO,17877
YACOPÍ,25885
YACUANQUER,52885
YAGUARÁ,41885
YALÍ,05885
YARUMAL,05887
YAVARATÉ,97889
YOLOMBÓ,05890
YONDÓ,05893
YOPAL,85001
YOTOCO,76890
YUMBO,76892
ZAMBRANO,13894
ZAPATOCA,68895
ZAPAYÁN,47960
ZARAGOZA,05895
ZARZAL,76895
ZETAQUIRA,15897
ZIPACÓN,25898
ZIPAQUIRÁ,25899
ZONA BANANERA,47980
